,0,1,2,3,4,5,6,7,8,9,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Children,Other Comments,phase 3 genotypes,related genotypes,omni genotypes,affy_genotypes,Population Description,Continental,Sequence Data Available,Alignment Data Available,Variant Data Available
HG00406,-112.082405,-146.90959,7.0548472,54.128952,-11.081507,-6.9728475,1.1841791,-17.009861,-12.612024,-14.114488,SH002,0,0,1,0,CHS,father,0,0,0,HG00408,0,1,0,1,1,Southern Han Chinese,EAS,1.0,1.0,1.0
HG00407,-113.92041,-161.393,27.169317,-1.3621713,4.9997387,10.821232,0.40247852,-8.200198,14.466943,-21.497623,SH002,0,0,2,0,CHS,mother,0,0,0,HG00408,0,1,0,1,1,Southern Han Chinese,EAS,1.0,1.0,1.0
HG00551,-67.678116,103.137115,66.82639,-6.568776,-4.3925076,10.366468,-19.891747,-23.571762,34.876137,-3.9824796,PR01,0,0,2,0,PUR,mother,0,0,0,HG00552,0,1,0,1,1,Puerto Ricans from Puerto Rico,AMR,1.0,1.0,1.0
HG00553,43.348198,57.861443,22.99608,78.03136,-79.73221,-14.262753,25.691278,3.9928558,56.5549,29.296753,PR02,0,0,1,0,PUR,father,0,0,0,HG00555,0,1,0,1,1,Puerto Ricans from Puerto Rico,AMR,1.0,1.0,1.0
HG00554,-72.9837,103.68923,59.480778,5.627817,-7.1992955,9.76354,-15.261311,15.591911,-13.474539,-3.8391957,PR02,0,0,2,0,PUR,mother,0,0,0,HG00555,0,1,0,1,1,Puerto Ricans from Puerto Rico,AMR,1.0,1.0,1.0
HG00637,-39.766575,66.00116,50.08481,37.103386,-13.755093,-4.331111,20.142345,-10.224022,0.28990787,13.2953205,PR03,0,0,1,0,PUR,father,0,0,0,HG00639,0,1,0,1,1,Puerto Ricans from Puerto Rico,AMR,1.0,1.0,1.0
HG00759,-125.23177,-171.18965,52.727863,-23.718859,20.392355,0.15992764,0.92921704,-2.613484,-10.981008,11.574842,HG00759,0,0,2,0,CDX,unrel,0,0,0,0,0,1,0,1,1,"Chinese Dai in Xishuangbanna, China",EAS,1.0,1.0,1.0
HG00766,-109.51641,-186.93571,39.14198,-28.35984,3.9356856,2.9872131,0.8717202,10.54068,-0.28333884,13.716868,HG00766,0,0,2,0,CDX,unrel,0,0,0,0,0,1,0,1,1,"Chinese Dai in Xishuangbanna, China",EAS,1.0,1.0,1.0
HG00844,-115.62464,-188.12985,32.834595,-15.069205,4.1794167,-2.6695554,-5.736889,4.777852,-11.193689,10.523163,HG00844,0,0,1,0,CDX,unrel,0,0,0,0,0,1,0,1,1,"Chinese Dai in Xishuangbanna, China",EAS,1.0,1.0,1.0
HG00851,-106.43138,-191.84148,20.625313,-20.358313,-0.54909813,-11.056108,10.357592,6.7477756,12.006322,5.307969,HG00851,0,0,2,0,CDX,unrel,0,0,0,0,0,1,0,1,1,"Chinese Dai in Xishuangbanna, China",EAS,1.0,1.0,1.0
